DIRECTORIO SECUENCIA_ENCUESTA SECUENCIA_P ORDEN DEPMUNI P5747 P5752 P5752S1 P5090 FEX_C
94179 1 1 1 05001 2 1 2 1 347.934680183299
94181 1 1 1 05001 2 1 2 2 314.705860590516
94183 1 1 1 05001 2 1 4 1 391.774079696481
94185 1 1 1 05001 2 1 3 1 359.47556470525
94187 1 1 1 05001 2 1 3 2 274.248237315139
94189 1 1 1 05001 2 1 3 1 290.659062846291
94193 1 1 1 05001 1 1 3 1 359.47556470525
94197 1 1 1 05001 2 1 1 2 303.838438031892
94199 1 1 1 05001 2 1 4 1 340.463832751751
94201 1 1 1 05001 2 1 4 1 360.896228654679
94203 1 1 1 05001 2 1 4 2 340.463832751751
94205 1 1 1 05001 2 1 4 1 344.444436141464
94207 1 1 1 05001 1 1 3 1 340.463832751751
94209 1 1 1 05001 2 1 1 2 302.833801344372
94211 1 1 1 05001 2 1 2 1 340.463832751751
94213 1 1 1 05001 2 1 2 2 340.049164484709
94215 1 1 1 05001 1 1 2 1 629.411721181032
94217 1 1 1 05001 2 1 2 1 364.801140963556
94219 1 1 1 05001 2 1 2 1 331.157653103731
94221 1 1 1 05001 2 1 2 2 351.59004900666
94225 1 1 1 05001 2 1 3 1 349.305206518136
94227 1 1 1 05001 1 1 6 1 340.463832751751
94229 1 1 1 05001 1 1 6 2 253.52688761684
94231 1 1 1 05001 2 1 4 1 359.47556470525
94233 1 1 1 05001 1 1 4 1 291.114698095395
94235 1 1 1 05001 2 1 2 2 347.934680183299
94237 1 1 1 05001 2 1 3 2 338.787685158964
94239 1 1 1 05001 2 1 3 2 283.406042128963
94241 1 1 1 05001 2 1 3 2 360.896228654679
94243 1 1 1 05001 2 1 3 1 323.2661972473
94245 1 1 1 05001 2 1 3 1 314.705860590516
94247 1 1 1 05001 2 1 3 2 340.374399051063
94251 1 1 1 05001 2 1 2 3 331.157653103731
94253 1 1 1 05001 2 1 3 1 300.638704457636
94257 1 1 1 05001 2 1 3 1 340.463832751751
94261 1 1 1 05001 1 1 2 1 218.611110641781
94263 1 1 1 05001 2 1 2 2 263.979641908423
94265 1 1 1 05001 1 1 2 1 266.995216597811
94267 1 1 1 05001 2 1 4 1 387.793476306768
94269 1 1 1 05001 1 1 4 1 360.896228654679
94271 1 1 1 05001 1 1 4 2 338.787685158964
94273 1 1 1 05001 2 1 4 1 266.995216597811
94275 1 1 1 05001 2 1 4 1 339.043168802321
94291 1 1 1 08001 2 1 3 1 119.753059639703
94293 1 1 1 08001 2 1 3 1 112.842178311783
94295 1 1 1 08001 1 1 2 1 96.0342393010776
94297 1 1 1 08001 2 1 3 2 95.9437089050994
94299 1 1 1 08001 1 1 2 1 106.328522566158
94301 1 1 1 08001 2 1 2 2 109.521136868808
94303 1 1 1 08001 2 1 2 1 107.803369058716
94305 1 1 1 08001 2 1 2 1 91.3686914316134
94307 1 1 1 08001 1 1 2 1 124.110178001609
94309 1 1 1 08001 2 1 2 4 116.126131288049
94311 1 1 1 08001 1 1 2 1 108.436701444319
94313 1 1 1 08001 1 1 3 1 123.044743572055
94315 1 1 1 08001 1 1 1 1 111.629315746969
94317 1 1 1 08001 1 1 2 1 94.3904623011432
94319 1 1 1 08001 2 1 2 2 115.233757298354
94321 1 1 1 08001 2 1 2 2 105.851792224359
94323 1 1 1 08001 1 1 1 1 113.109120024137
94325 1 1 1 08001 1 1 2 1 103.709841532647
94327 1 1 1 08001 1 1 2 1 112.38503189425
94329 1 1 1 08001 2 1 1 2 112.615076264843
94331 1 1 1 08001 2 1 2 1 110.570112902308
94333 1 1 1 08001 1 1 2 1 128.810136810085
94335 1 1 1 08001 2 1 2 1 106.25012245476
94337 1 1 1 08001 2 1 3 1 98.1480150893103
94339 1 1 1 08001 1 1 3 1 110.922541034578
94341 1 1 1 08001 1 1 2 1 113.732332300696
94343 1 1 1 08001 1 1 1 1 108.436701444319
94345 1 1 1 08001 2 1 2 1 115.233757298354
94347 1 1 1 08001 1 1 2 1 56.4910622275018
94349 1 1 1 08001 1 1 2 1 128.856038908215
94351 1 1 1 08001 2 1 2 2 128.398494668851
